Accion,Y,X1,X2,X3,X4,X5,X6,X7,X8
1,39.5,1.76,2.21,3.8,-14.6,3.2,35,1,0
2,47.5,1.28,3.72,1.4,69.7,11.4,30,1,1
3,36.5,1,2.48,-15.7,88.7,0.6,29,1,1
4,33,1.58,2.36,3,4,2.6,27,1,1
5,91.25,0.28,1.83,10.5,22.4,26.1,44.75,1,0
6,7,0.11,0.37,11.8,-13.2,24.9,18.25,0,0
7,55,1.3,3.99,2.5,15.7,6.3,37.75,1,0
8,33.88,0.4,1.04,13.4,6.9,64.7,22.38,1,0
9,18.5,0.25,1,17.1,38.2,19.7,17.25,1,0
10,34.13,0.91,2.75,-3.3,26.4,7.4,22,0,1
11,23.63,0.92,1.25,2.6,3.8,4.4,21.75,0,0
12,30.5,0.08,1.03,24.5,94.7,54.2,14.5,0,0
13,22,0.91,1.4,11.7,71.8,8.7,16.75,1,0
14,21.88,0.5,1.73,6,48,23.3,13.88,1,1
15,53,0.53,5.45,-7.5,77.4,-1,27.5,0,1
16,21.38,0.39,1.3,6.2,14.9,8.8,15.25,1,0
17,13.13,0.2,0.61,26.7,-12.6,16.4,9.13,1,0
18,23.88,0.63,1.66,-6.6,182.3,10.1,12.75,1,1
19,26.13,0.57,1.73,16.3,56.2,9.1,22.25,1,0
20,40.5,1.14,3.1,-9,18,7.1,28.63,0,1
21,22.5,0.66,2.01,-9.6,21.7,7.1,15.88,0,1
22,21,0,0.85,30.4,43,51.7,27.75,0,0
23,17.25,0.75,1.09,24.4,58.9,8.1,11.88,0,0
24,20.25,0.06,0.9,42.4,58,25.3,10.63,1,0
25,26.63,0.98,1.79,18.9,38.3,23,16.38,1,0
26,30,0.38,1.65,-9.7,13.3,7.9,19.63,0,1
27,16.25,0.28,0.89,8,5.6,51.4,14.88,0,0
28,6.25,0.22,0.31,2.1,-48.8,2,6.13,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Accion,,X1,X2,X3,X4,X5,X6,X7,X8
K,,1.51,4.52,9.67,26.65,4.52,40.63,1,1
B,,1.18,0.51,-1.82,29.5,8.3,20.49,1,0
C,,1.07,2.72,12.98,4.36,-3.95,27.63,1,0
T,,0.28,0.45,10.68,72.97,4.9,26.96,1,0
V,,0.74,2.12,12.03,37.33,5.45,31.88,1,0
